Alpha,N,Train Ppl,Test Ppl,Contexts,Avg Branching
0.4,1,24.153061781772397,24.53860085480424,1,283.0
0.4,2,11.140178202475115,10.462674866198304,283,9.02826855123675
0.4,3,7.105696409200527,6.5719678438201985,2554,7.583398590446358
0.4,4,4.744557284026341,4.504223685539158,19295,5.03218450375745
0.4,5,3.5481889646065463,3.605194357686556,96782,3.375896344361555
