n,Train PPL,Test PPL,Contexts,Branch
1,24.153072488386293,24.53864718916723,1,283.0
2,11.157571395471637,10.477492771190333,283,9.02826855123675
3,7.2186901729276105,6.658910696577947,2554,7.583398590446358
4,5.250386020194625,4.912868874888995,19295,5.03218450375745
5,4.9662479172872,4.7832957101088684,96782,3.375896344361555
