n,Train PPL,Test PPL,Contexts,Branch
1,24.153061781772383,24.53860085480424,1,283.0
2,11.140876455615013,10.463270153387581,283,9.02826855123675
3,7.109899952916216,6.582067756379325,2554,7.583398590446358
4,4.765282214329327,4.548091106952628,19295,5.03218450375745
5,3.6202449798710536,3.738499610856692,96782,3.375896344361555
