N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,780.8793868762448,574.443257698592,1,28784.0
2,545.32554488292,478.0145567132121,28784,20.26212479155086
3,2115.0703397406387,2716.816128488729,583225,2.3082703930729993
4,4360.891875352502,7734.939371189709,1345549,1.331414166262247
5,5922.572380018693,13229.140298496817,1784191,1.126948291970983
