Lambdas,N,Train Ppl,Test Ppl,Contexts,Avg Branching
[1.0],1,24.153061781772397,24.53860085480424,1,283.0
"[0.3, 0.7]",2,15.217927179388054,14.346783203560458,283,9.02826855123675
"[0.2, 0.3, 0.5]",3,13.74856279246113,12.755455724501351,2554,7.583398590446358
"[0.1, 0.2, 0.3, 0.4]",4,11.66432319519256,11.116271566130534,19295,5.03218450375745
"[0.05, 0.1, 0.2, 0.25, 0.4]",5,8.809711667312854,9.148885028134808,96782,3.375896344361555
