Lambdas,N,Train Ppl,Test Ppl,Contexts,Avg Branching
[1.0],1,780.7289072743699,573.7157767120863,1,28784.0
"[0.3, 0.7]",2,82.22314426015217,194.11541216943044,28784,20.26212479155086
"[0.2, 0.3, 0.5]",3,15.748556174642406,1377.366401220544,583225,2.3082703930729993
"[0.1, 0.2, 0.3, 0.4]",4,6.194574076315454,13274.437754773993,1345549,1.331414166262247
"[0.05, 0.1, 0.2, 0.25, 0.4]",5,3.9424907060280137,74573.01235542007,1784191,1.126948291970983
