N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,422.7234397937408,384.6163887932936,1,1223.0
2,52.1716030204742,inf,1223,144.74897792313982
3,11.451101121232357,inf,176814,6.079722193943918
4,3.8610600832862705,inf,1073368,1.9588659248272726
5,2.063650714593059,inf,2095570,1.341646902751996
