N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,780.7352597882433,573.8373083814348,1,28784.0
2,250.29168776937578,292.47438154251057,28784,20.26212479155086
3,639.7307930025089,1639.0003065236726,583225,2.3082703930729993
4,1226.5384191593096,5541.478466827684,1345549,1.331414166262247
5,1631.1420735502572,10591.03948710384,1784191,1.126948291970983
