N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,780.7289072743706,573.7157767120867,1,28784.0
2,109.12096484735812,201.0881333141603,28784,20.26212479155086
3,116.5429996636272,964.7339668297132,583225,2.3082703930729993
4,166.46615929562694,3776.1077636773366,1345549,1.331414166262247
5,201.68169808526636,8297.6075255583,1784191,1.126948291970983
