n,Train PPL,Test PPL,Contexts,Branch
1,24.15306239082726,24.538608446216724,1,283.0
2,11.144977538443365,10.466785039052416,283,9.02826855123675
3,7.136797775964764,6.597677491335695,2554,7.583398590446358
4,4.891632117092286,4.630189048684547,19295,5.03218450375745
5,3.9989660673045853,3.994372191465745,96782,3.375896344361555
