N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,780.7288421168407,573.7026369720505,1,28784.0
2,59.46781211310461,inf,28784,20.26212479155086
3,7.92087697066162,inf,583225,2.3082703930729993
4,2.482557228163913,inf,1345549,1.331414166262247
5,1.5774098074322733,inf,1784191,1.126948291970983
