n,Train PPL,Test PPL,Contexts,Branch
1,24.15306175519686,24.538600038410593,1,283.0
2,11.140178202475115,10.462674866198304,283,9.02826855123675
3,7.105696409200527,inf,2554,7.583398590446358
4,4.744557284026341,inf,19295,5.03218450375745
5,3.5481889646065463,inf,96782,3.375896344361555
