N,Train Ppl,Test Ppl,Contexts,Avg Branching
1,781.2890126725387,575.3310010689772,1,28784.0
2,789.1850211735199,627.6861853774021,28784,20.26212479155086
3,3332.56066430933,3442.1025969692837,583225,2.3082703930729993
4,6761.967394722408,8976.867780762066,1345549,1.331414166262247
5,9096.957383448122,14600.689254322984,1784191,1.126948291970983
