n,Train PPL,Test PPL,Contexts,Branch
1,24.15309960397604,24.53870589685895,1,283.0
2,11.170862633369168,10.489102414970223,283,9.02826855123675
3,7.299731940884763,6.72399583497204,2554,7.583398590446358
4,5.5852180346622085,5.18926975671282,19295,5.03218450375745
5,5.8331263355020555,5.5140121187774955,96782,3.375896344361555
